Values for stem plot of x_1(n), x_2(n), x_3(n), x_4(n), x_5(n):
0 7.00 -18.00 15.00 18.90 3.50
1 10.00 -16.00 12.00 21.40 3.50
2 13.00 -14.00 9.00 23.90 3.50
3 16.00 -12.00 6.00 26.40 3.50
4 19.00 -10.00 3.00 28.90 3.50
5 22.00 -8.00 0.00 31.40 3.50
6 25.00 -6.00 -3.00 33.90 3.50
7 28.00 -4.00 -6.00 36.40 3.50
8 31.00 -2.00 -9.00 38.90 3.50
9 34.00 0.00 -12.00 41.40 3.50
10 37.00 2.00 -15.00 43.90 3.50
11 40.00 4.00 -18.00 46.40 3.50
12 43.00 6.00 -21.00 48.90 3.50
13 46.00 8.00 -24.00 51.40 3.50
14 49.00 10.00 -27.00 53.90 3.50
15 52.00 12.00 -30.00 56.40 3.50
16 55.00 14.00 -33.00 58.90 3.50
17 58.00 16.00 -36.00 61.40 3.50
18 61.00 18.00 -39.00 63.90 3.50
19 64.00 20.00 -42.00 66.40 3.50
20 67.00 22.00 -45.00 68.90 3.50
21 70.00 24.00 -48.00 71.40 3.50
22 73.00 26.00 -51.00 73.90 3.50
23 76.00 28.00 -54.00 76.40 3.50
24 79.00 30.00 -57.00 78.90 3.50
25 82.00 32.00 -60.00 81.40 3.50
26 85.00 34.00 -63.00 83.90 3.50
27 88.00 36.00 -66.00 86.40 3.50
28 91.00 38.00 -69.00 88.90 3.50
29 94.00 40.00 -72.00 91.40 3.50
30 97.00 42.00 -75.00 93.90 3.50
31 100.00 44.00 -78.00 96.40 3.50
32 103.00 46.00 -81.00 98.90 3.50
