1	2.500000e+00	4.000000e-01
2	1.000000e+00	1.000000e+00
3	4.000000e-01	2.500000e+00
4	1.600000e-01	6.250000e+00
5	6.400000e-02	1.562500e+01
6	2.560000e-02	3.906250e+01
7	1.024000e-02	9.765625e+01
8	4.096000e-03	2.441406e+02
9	1.638400e-03	6.103516e+02
10	6.553600e-04	1.525879e+03
11	2.621440e-04	3.814697e+03
12	1.048576e-04	9.536743e+03
13	4.194304e-05	2.384186e+04
14	1.677722e-05	5.960464e+04
15	6.710886e-06	1.490116e+05
16	2.684355e-06	3.725290e+05
17	1.073742e-06	9.313226e+05
18	4.294967e-07	2.328306e+06
19	1.717987e-07	5.820766e+06
20	6.871948e-08	1.455192e+07
