Time(s)	Current(A)	Power(W)
0.002703   -0.000000   0.000000
0.002706   -0.000000   0.000000
0.002709   -0.000000   0.000000
0.002712   -0.000000   0.000000
0.002715   -0.000000   0.000000
0.002718   -0.000000   0.000000
0.002721   0.000000   0.000000
0.002724   0.000000   0.000000
0.002727   0.000000   0.000000
0.002730   0.000000   0.000000
0.002733   0.000000   0.000000
0.002736   0.000000   0.000000
0.002739   0.000000   0.000000
0.002742   0.000000   0.000000
0.002745   0.000000   0.000000
0.002748   0.000000   0.000000
0.002751   0.000000   0.000000
0.002754   0.000000   0.000000
0.002757   0.000000   0.000000
0.002760   0.000000   0.000000
0.002763   0.000000   0.000000
0.002766   0.000000   0.000000
0.002769   0.000000   0.000000
0.002772   0.000000   0.000000
0.002775   0.000000   0.000000
0.002778   0.000000   0.000000
0.002781   0.000000   0.000000
0.002784   0.000000   0.000000
0.002787   0.000000   0.000000
0.002790   0.000000   0.000000
0.002793   0.000000   0.000000
0.002796   0.000000   0.000000
0.002799   0.000000   0.000000
0.002802   0.000000   0.000000
0.002805   0.000000   0.000000
0.002808   0.000000   0.000000
0.002811   0.000000   0.000000
0.002814   0.000000   0.000000
0.002817   0.000000   0.000000
0.002820   0.000000   0.000000
0.002823   0.000000   0.000000
0.002826   0.000000   0.000000
0.002829   0.000000   0.000000
0.002832   0.000000   0.000000
0.002835   0.000000   0.000000
0.002838   0.000000   0.000000
0.002841   0.000000   0.000000
0.002844   0.000000   0.000000
0.002847   0.000000   0.000000
0.002850   0.000000   0.000000
0.002853   0.000000   0.000000
0.002856   0.000000   0.000000
0.002859   0.000000   0.000000
0.002862   0.000000   0.000000
0.002865   0.000000   0.000000
0.002868   0.000000   0.000000
0.002871   0.000000   0.000000
0.002874   0.000000   0.000000
0.002877   0.000000   0.000000
0.002880   0.000000   0.000000
0.002883   0.000000   0.000000
0.002886   0.000000   0.000000
0.002889   0.000000   0.000000
0.002892   0.000000   0.000000
0.002895   0.000000   0.000000
0.002898   0.000000   0.000000
0.002901   0.000000   0.000000
0.002904   -0.000000   0.000000
0.002907   -0.000000   0.000000
0.002910   -0.000000   0.000000
0.002913   -0.000000   0.000000
0.002916   -0.000000   0.000000
0.002919   -0.000000   0.000000
0.002922   -0.000000   0.000000
0.002925   -0.000000   0.000000
0.002928   -0.000000   0.000000
0.002931   -0.000000   0.000000
0.002934   -0.000000   0.000000
0.002937   -0.000000   0.000000
0.002940   -0.000000   0.000000
0.002943   -0.000000   0.000000
0.002946   -0.000000   0.000000
0.002949   -0.000000   0.000000
0.002952   -0.000000   0.000000
0.002955   -0.000000   0.000000
0.002958   -0.000000   0.000000
0.002961   -0.000000   0.000000
0.002964   -0.000000   0.000000
0.002967   -0.000000   0.000000
0.002970   -0.000000   0.000000
0.002973   -0.000000   0.000000
0.002976   -0.000000   0.000000
0.002979   -0.000000   0.000000
0.002982   -0.000000   0.000000
0.002985   -0.000000   0.000000
0.002988   -0.000000   0.000000
0.002991   -0.000000   0.000000
0.002994   -0.000000   0.000000
0.002997   -0.000000   0.000000
0.003000   -0.000000   0.000000
